GEOID,"% Householder 65 years and over living alone, 2024"
13067030104,26.6
13067030107,14.3
13067030108,9.4
13067030109,12.1
13067030110,15.5
13067030111,18.7
13067030112,18.1
13067030113,6.5
13067030220,6.2
13067030233,11.8
13067030235,3.1
13067030236,3.1
13067030240,3.4
13067030241,4.1
13067030242,7.4
13067030243,4.5
13067030244,8.3
13067030245,1.5
13067030246,5.8
13067030247,5.3
13067030248,8.8
13067030249,11.9
13067030250,5.3
13067030251,13.9
13067030252,1.5
13067030253,12.1
13067030254,9.6
13067030255,7.9
13067030256,4.0
13067030257,26.7
13067030258,13.8
13067030259,9.0
13067030260,7.6
13067030261,6.4
13067030262,4.6
13067030263,6.6
13067030264,0.8
13067030265,4.0
13067030266,5.9
13067030267,3.2
13067030268,3.7
13067030269,24.1
13067030270,13.1
13067030271,2.7
13067030272,6.7
13067030273,4.9
13067030274,6.0
13067030275,6.9
13067030276,8.3
13067030277,1.9
13067030278,4.4
13067030319,11.6
13067030322,5.1
13067030324,6.4
13067030326,5.8
13067030327,3.8
13067030329,7.9
13067030331,8.6
13067030332,4.3
13067030334,12.6
13067030335,5.7
13067030337,14.9
13067030340,17.2
13067030341,5.5
13067030342,6.2
13067030343,2.5
13067030344,6.5
13067030345,2.4
13067030346,12.5
13067030347,8.5
13067030348,2.5
13067030349,12.8
13067030350,18.7
13067030351,7.2
13067030352,14.8
13067030353,7.9
13067030354,9.0
13067030355,10.9
13067030356,5.3
13067030357,11.1
13067030358,6.8
13067030359,10.9
13067030360,4.0
13067030361,2.8
13067030362,9.3
13067030363,25.8
13067030364,3.3
13067030365,9.9
13067030366,5.8
13067030367,4.8
13067030368,3.4
13067030369,7.5
13067030370,4.1
13067030405,10.2
13067030407,8.0
13067030408,4.3
13067030409,12.3
13067030410,14.3
13067030411,7.6
13067030412,2.5
13067030413,1.4
13067030414,0.9
13067030505,2.8
13067030506,6.4
13067030507,7.9
13067030508,14.4
13067030509,5.4
13067030510,7.3
13067030511,5.4
13067030602,23.5
13067030603,4.9
13067030604,3.3
13067030700,21.1
13067030800,7.0
13067030906,6.3
13067030907,15.6
13067030908,6.3
13067030909,14.3
13067030910,13.7
13067030911,4.6
13067030912,14.3
13067031001,2.6
13067031004,7.6
13067031005,9.8
13067031006,13.3
13067031007,15.6
13067031101,2.2
13067031110,9.0
13067031111,12.8
13067031112,5.1
13067031113,0.4
13067031114,6.5
13067031115,8.5
13067031116,4.4
13067031117,4.1
13067031118,9.1
13067031119,15.3
13067031120,10.4
13067031121,13.1
13067031122,10.0
13067031207,3.3
13067031209,7.0
13067031212,13.0
13067031213,11.6
13067031214,3.4
13067031215,7.0
13067031216,1.1
13067031217,6.5
13067031218,10.6
13067031219,3.0
13067031220,16.7
13067031221,5.5
13067031306,6.6
13067031308,10.3
13067031314,0.6
13067031315,4.6
13067031316,2.0
13067031317,12.6
13067031318,4.8
13067031319,4.1
13067031320,6.1
13067031321,1.7
13067031322,13.7
13067031323,2.3
13067031324,9.7
13067031325,7.0
13067031409,8.5
13067031410,6.8
13067031411,14.3
13067031412,12.3
13067031413,6.1
13067031414,11.5
13067031415,7.8
13067031416,5.0
13067031417,4.0
13067031506,11.2
13067031507,9.4
13067031510,5.1
13067031511,7.9
13067031512,6.1
13067031513,4.9
13067031514,7.2
13067031515,6.2
13067031516,2.4
13067031517,13.9
13067031518,9.6
