GEOID,"Median household income, 2024"
13067030104,63979.0
13067030107,105694.0
13067030108,118232.0
13067030109,109563.0
13067030110,105170.0
13067030111,88162.0
13067030112,64728.0
13067030113,90795.0
13067030220,122599.0
13067030233,133289.0
13067030235,150000.0
13067030236,184912.0
13067030240,112070.0
13067030241,134464.0
13067030242,112407.0
13067030243,106898.0
13067030244,147339.0
13067030245,130208.0
13067030246,59401.0
13067030247,64509.0
13067030248,80804.0
13067030249,77788.0
13067030250,172212.0
13067030251,147582.0
13067030252,163883.0
13067030253,131477.0
13067030254,79922.0
13067030255,105729.0
13067030256,182479.0
13067030257,64010.0
13067030258,75855.0
13067030259,108125.0
13067030260,89069.0
13067030261,127875.0
13067030262,173309.0
13067030263,109201.0
13067030264,163958.0
13067030265,194453.0
13067030266,151518.0
13067030267,182619.0
13067030268,152070.0
13067030269,101250.0
13067030270,106905.0
13067030271,136189.0
13067030272,128393.0
13067030273,123125.0
13067030274,109890.0
13067030275,74803.0
13067030276,160815.0
13067030277,150129.0
13067030278,99500.0
13067030319,136343.0
13067030322,164274.0
13067030324,132083.0
13067030326,169000.0
13067030327,142258.0
13067030329,136635.0
13067030331,157868.0
13067030332,169028.0
13067030334,177580.0
13067030335,178906.0
13067030337,193681.0
13067030340,148750.0
13067030341,109833.0
13067030342,182986.0
13067030343,217083.0
13067030344,69419.0
13067030345,101000.0
13067030346,95875.0
13067030347,94111.0
13067030348,119318.0
13067030349,125341.0
13067030350,124764.0
13067030351,216683.0
13067030352,179205.0
13067030353,95809.0
13067030354,145509.0
13067030355,97831.0
13067030356,110170.0
13067030357,165114.0
13067030358,134917.0
13067030359,181577.0
13067030360,220833.0
13067030361,116442.0
13067030362,120371.0
13067030363,90000.0
13067030364,148259.0
13067030365,178733.0
13067030366,162048.0
13067030367,154559.0
13067030368,168558.0
13067030369,213279.0
13067030370,240341.0
13067030405,73477.0
13067030407,124964.0
13067030408,138478.0
13067030409,145518.0
13067030410,76667.0
13067030411,51372.0
13067030412,56824.0
13067030413,66360.0
13067030414,56100.0
13067030505,73672.0
13067030506,86944.0
13067030507,144750.0
13067030508,90603.0
13067030509,135529.0
13067030510,102286.0
13067030511,71777.0
13067030602,140284.0
13067030603,84111.0
13067030604,67355.0
13067030700,73542.0
13067030800,70530.0
13067030906,100112.0
13067030907,78197.0
13067030908,81875.0
13067030909,83038.0
13067030910,80114.0
13067030911,71815.0
13067030912,61207.0
13067031001,66423.0
13067031004,48994.0
13067031005,106382.0
13067031006,62039.0
13067031007,52035.0
13067031101,64259.0
13067031110,123235.0
13067031111,100108.0
13067031112,130352.0
13067031113,66250.0
13067031114,68739.0
13067031115,100469.0
13067031116,69615.0
13067031117,141094.0
13067031118,126261.0
13067031119,77344.0
13067031120,96776.0
13067031121,72730.0
13067031122,108167.0
13067031207,96490.0
13067031209,195298.0
13067031212,234087.0
13067031213,105972.0
13067031214,133967.0
13067031215,122071.0
13067031216,98333.0
13067031217,90217.0
13067031218,91364.0
13067031219,91350.0
13067031220,76142.0
13067031221,170833.0
13067031306,90625.0
13067031308,59397.0
13067031314,132774.0
13067031315,192216.0
13067031316,124430.0
13067031317,72984.0
13067031318,61710.0
13067031319,58472.0
13067031320,59160.0
13067031321,47723.0
13067031322,69406.0
13067031323,109091.0
13067031324,79853.0
13067031325,147500.0
13067031409,71970.0
13067031410,133660.0
13067031411,70563.0
13067031412,76534.0
13067031413,60640.0
13067031414,124250.0
13067031415,77562.0
13067031416,85706.0
13067031417,55125.0
13067031506,90750.0
13067031507,91984.0
13067031510,105801.0
13067031511,111195.0
13067031512,94598.0
13067031513,116528.0
13067031514,100882.0
13067031515,152723.0
13067031516,106696.0
13067031517,101200.0
13067031518,84014.0
