GEOID,"% Civilian non-institutionalized population, no health insurance, 2024"
13067030104,17.8
13067030107,9.2
13067030108,18.0
13067030109,8.6
13067030110,15.3
13067030111,9.3
13067030112,14.2
13067030113,13.3
13067030220,3.2
13067030233,4.6
13067030235,6.8
13067030236,5.3
13067030240,10.1
13067030241,4.6
13067030242,12.4
13067030243,7.4
13067030244,3.4
13067030245,2.2
13067030246,8.8
13067030247,7.2
13067030248,16.3
13067030249,8.0
13067030250,6.0
13067030251,2.6
13067030252,1.2
13067030253,1.8
13067030254,4.5
13067030255,8.2
13067030256,1.0
13067030257,11.2
13067030258,32.2
13067030259,9.9
13067030260,18.5
13067030261,8.1
13067030262,1.6
13067030263,4.8
13067030264,4.6
13067030265,0.1
13067030266,3.1
13067030267,2.1
13067030268,4.9
13067030269,6.7
13067030270,1.9
13067030271,20.4
13067030272,5.3
13067030273,8.8
13067030274,16.4
13067030275,10.7
13067030276,0.4
13067030277,9.6
13067030278,10.7
13067030319,3.8
13067030322,1.3
13067030324,7.4
13067030326,2.1
13067030327,8.2
13067030329,6.3
13067030331,5.0
13067030332,0.5
13067030334,2.4
13067030335,2.5
13067030337,4.8
13067030340,2.4
13067030341,7.0
13067030342,2.5
13067030343,2.6
13067030344,19.2
13067030345,9.8
13067030346,11.2
13067030347,17.0
13067030348,6.7
13067030349,14.2
13067030350,10.4
13067030351,4.8
13067030352,3.2
13067030353,7.3
13067030354,5.3
13067030355,7.2
13067030356,2.4
13067030357,2.3
13067030358,3.9
13067030359,2.2
13067030360,1.7
13067030361,8.5
13067030362,9.2
13067030363,8.1
13067030364,4.1
13067030365,1.3
13067030366,4.0
13067030367,6.8
13067030368,4.5
13067030369,3.2
13067030370,4.2
13067030405,12.9
13067030407,12.5
13067030408,18.4
13067030409,2.6
13067030410,4.1
13067030411,34.9
13067030412,36.3
13067030413,30.1
13067030414,32.9
13067030505,22.5
13067030506,17.7
13067030507,7.9
13067030508,23.0
13067030509,3.7
13067030510,12.2
13067030511,12.1
13067030602,2.7
13067030603,4.9
13067030604,29.1
13067030700,21.7
13067030800,22.4
13067030906,7.6
13067030907,11.7
13067030908,26.8
13067030909,48.4
13067030910,24.8
13067030911,31.8
13067030912,34.5
13067031001,38.8
13067031004,27.2
13067031005,22.4
13067031006,43.8
13067031007,30.9
13067031101,28.4
13067031110,9.7
13067031111,7.7
13067031112,2.9
13067031113,17.6
13067031114,12.4
13067031115,7.5
13067031116,19.1
13067031117,6.1
13067031118,13.0
13067031119,26.6
13067031120,4.5
13067031121,7.5
13067031122,8.1
13067031207,4.8
13067031209,2.4
13067031212,2.7
13067031213,6.0
13067031214,6.1
13067031215,8.3
13067031216,2.7
13067031217,8.7
13067031218,4.6
13067031219,23.9
13067031220,17.2
13067031221,3.2
13067031306,10.4
13067031308,24.5
13067031314,10.8
13067031315,2.9
13067031316,18.5
13067031317,18.5
13067031318,25.6
13067031319,24.9
13067031320,12.5
13067031321,47.8
13067031322,29.1
13067031323,12.2
13067031324,13.9
13067031325,7.8
13067031409,24.0
13067031410,15.2
13067031411,10.2
13067031412,14.9
13067031413,8.0
13067031414,14.4
13067031415,19.3
13067031416,8.5
13067031417,24.6
13067031506,10.6
13067031507,11.0
13067031510,12.8
13067031511,9.6
13067031512,17.9
13067031513,13.8
13067031514,15.7
13067031515,9.5
13067031516,8.6
13067031517,17.1
13067031518,17.0
