GEOID,"% Enrolled in nursery school, preschool, 2024"
13067030104,7.3
13067030107,2.2
13067030108,4.0
13067030109,0.0
13067030110,13.1
13067030111,5.2
13067030112,0.0
13067030113,3.9
13067030220,0.0
13067030233,6.2
13067030235,1.3
13067030236,2.7
13067030240,8.7
13067030241,7.3
13067030242,5.0
13067030243,4.4
13067030244,2.3
13067030245,7.3
13067030246,8.4
13067030247,1.5
13067030248,3.6
13067030249,9.1
13067030250,5.0
13067030251,3.8
13067030252,5.5
13067030253,11.8
13067030254,6.7
13067030255,6.4
13067030256,1.2
13067030257,3.2
13067030258,4.4
13067030259,14.3
13067030260,9.4
13067030261,4.6
13067030262,13.9
13067030263,11.2
13067030264,1.8
13067030265,1.7
13067030266,3.1
13067030267,5.1
13067030268,10.2
13067030269,1.6
13067030270,13.5
13067030271,2.0
13067030272,1.4
13067030273,4.5
13067030274,3.7
13067030275,1.0
13067030276,5.2
13067030277,0.0
13067030278,0.0
13067030319,9.4
13067030322,11.9
13067030324,2.3
13067030326,7.8
13067030327,3.9
13067030329,7.3
13067030331,9.0
13067030332,4.6
13067030334,7.5
13067030335,5.1
13067030337,5.4
13067030340,6.7
13067030341,14.0
13067030342,1.6
13067030343,10.0
13067030344,5.4
13067030345,14.2
13067030346,0.0
13067030347,5.2
13067030348,1.8
13067030349,6.3
13067030350,1.3
13067030351,12.0
13067030352,5.0
13067030353,0.0
13067030354,11.9
13067030355,6.9
13067030356,0.0
13067030357,3.3
13067030358,1.1
13067030359,4.3
13067030360,12.9
13067030361,1.1
13067030362,6.8
13067030363,4.2
13067030364,12.7
13067030365,13.3
13067030366,18.5
13067030367,11.1
13067030368,10.1
13067030369,10.0
13067030370,4.0
13067030405,2.7
13067030407,0.0
13067030408,1.8
13067030409,4.7
13067030410,9.3
13067030411,4.0
13067030412,1.7
13067030413,21.6
13067030414,3.5
13067030505,0.0
13067030506,6.8
13067030507,6.8
13067030508,1.9
13067030509,14.3
13067030510,5.3
13067030511,5.8
13067030602,6.5
13067030603,17.9
13067030604,23.7
13067030700,4.0
13067030800,2.6
13067030906,5.2
13067030907,2.5
13067030908,0.6
13067030909,11.5
13067030910,14.7
13067030911,3.0
13067030912,3.4
13067031001,4.4
13067031004,8.3
13067031005,0.0
13067031006,0.0
13067031007,7.3
13067031101,4.7
13067031110,16.6
13067031111,6.8
13067031112,16.7
13067031113,9.4
13067031114,3.5
13067031115,2.4
13067031116,8.1
13067031117,9.8
13067031118,15.2
13067031119,2.6
13067031120,15.5
13067031121,1.6
13067031122,10.3
13067031207,0.0
13067031209,11.1
13067031212,2.0
13067031213,8.8
13067031214,3.2
13067031215,1.5
13067031216,21.5
13067031217,18.6
13067031218,4.8
13067031219,5.0
13067031220,7.5
13067031221,6.1
13067031306,1.0
13067031308,8.5
13067031314,3.7
13067031315,18.8
13067031316,1.4
13067031317,4.7
13067031318,1.4
13067031319,5.1
13067031320,7.7
13067031321,0.0
13067031322,11.1
13067031323,3.9
13067031324,7.4
13067031325,8.0
13067031409,7.7
13067031410,0.0
13067031411,7.5
13067031412,10.1
13067031413,5.7
13067031414,9.6
13067031415,0.0
13067031416,17.0
13067031417,0.0
13067031506,1.1
13067031507,2.9
13067031510,4.5
13067031511,9.3
13067031512,4.6
13067031513,1.4
13067031514,5.0
13067031515,10.0
13067031516,4.9
13067031517,2.3
13067031518,0.0
