GEOID,"% Children raised by grandparent, 2024","% Children raised by grandparent, 2024 (normalized)"
13067030104,0.0,1.0
13067030107,0.0,1.0
13067030108,5.2,0.7992277992277992
13067030109,22.7,0.12355212355212353
13067030110,0.0,1.0
13067030111,1.3,0.9498069498069498
13067030112,3.3,0.8725868725868726
13067030113,0.0,1.0
13067030220,2.0,0.9227799227799228
13067030233,0.0,1.0
13067030235,0.9,0.9652509652509652
13067030236,0.0,1.0
13067030240,0.0,1.0
13067030241,12.7,0.5096525096525096
13067030242,0.0,1.0
13067030243,2.3,0.9111969111969112
13067030244,0.0,1.0
13067030245,1.8,0.9305019305019305
13067030246,0.0,1.0
13067030247,0.0,1.0
13067030248,0.0,1.0
13067030249,1.6,0.9382239382239382
13067030250,2.2,0.915057915057915
13067030251,0.0,1.0
13067030252,0.0,1.0
13067030253,0.0,1.0
13067030254,12.9,0.5019305019305018
13067030255,0.8,0.9691119691119691
13067030256,0.0,1.0
13067030257,5.2,0.7992277992277992
13067030258,4.0,0.8455598455598455
13067030259,0.0,1.0
13067030260,0.0,1.0
13067030261,0.0,1.0
13067030262,0.1,0.9961389961389961
13067030263,13.9,0.4633204633204633
13067030264,0.7,0.972972972972973
13067030265,5.0,0.8069498069498069
13067030266,3.9,0.8494208494208494
13067030267,0.0,1.0
13067030268,0.0,1.0
13067030269,4.3,0.833976833976834
13067030270,0.0,1.0
13067030271,2.8,0.8918918918918919
13067030272,0.0,1.0
13067030273,1.4,0.9459459459459459
13067030274,2.4,0.9073359073359073
13067030275,0.0,1.0
13067030276,1.9,0.9266409266409267
13067030277,0.0,1.0
13067030278,0.0,1.0
13067030319,0.0,1.0
13067030322,0.0,1.0
13067030324,3.6,0.8610038610038611
13067030326,0.0,1.0
13067030327,1.7,0.9343629343629344
13067030329,1.1,0.9575289575289575
13067030331,0.0,1.0
13067030332,0.0,1.0
13067030334,1.3,0.9498069498069498
13067030335,0.0,1.0
13067030337,0.0,1.0
13067030340,0.0,1.0
13067030341,0.0,1.0
13067030342,3.8,0.8532818532818532
13067030343,0.4,0.9845559845559846
13067030344,0.0,1.0
13067030345,0.0,1.0
13067030346,2.4,0.9073359073359073
13067030347,4.5,0.8262548262548263
13067030348,3.7,0.8571428571428571
13067030349,0.0,1.0
13067030350,0.0,1.0
13067030351,0.0,1.0
13067030352,0.0,1.0
13067030353,0.0,1.0
13067030354,0.0,1.0
13067030355,0.0,1.0
13067030356,0.0,1.0
13067030357,0.0,1.0
13067030358,0.0,1.0
13067030359,1.1,0.9575289575289575
13067030360,0.0,1.0
13067030361,0.0,1.0
13067030362,0.0,1.0
13067030363,5.3,0.7953667953667953
13067030364,0.0,1.0
13067030365,1.6,0.9382239382239382
13067030366,0.0,1.0
13067030367,0.0,1.0
13067030368,0.0,1.0
13067030369,0.0,1.0
13067030370,5.5,0.7876447876447876
13067030405,1.2,0.9536679536679536
13067030407,1.9,0.9266409266409267
13067030408,0.0,1.0
13067030409,0.0,1.0
13067030410,0.0,1.0
13067030411,0.0,1.0
13067030412,0.0,1.0
13067030413,0.0,1.0
13067030414,0.0,1.0
13067030505,0.0,1.0
13067030506,12.4,0.5212355212355212
13067030507,0.0,1.0
13067030508,23.5,0.09266409266409259
13067030509,0.0,1.0
13067030510,0.0,1.0
13067030511,21.1,0.18532818532818518
13067030602,0.0,1.0
13067030603,2.9,0.888030888030888
13067030604,0.0,1.0
13067030700,4.2,0.8378378378378378
13067030800,0.0,1.0
13067030906,0.0,1.0
13067030907,1.7,0.9343629343629344
13067030908,1.6,0.9382239382239382
13067030909,0.0,1.0
13067030910,4.0,0.8455598455598455
13067030911,2.5,0.9034749034749034
13067030912,2.3,0.9111969111969112
13067031001,2.7,0.8957528957528957
13067031004,1.4,0.9459459459459459
13067031005,5.0,0.8069498069498069
13067031006,0.0,1.0
13067031007,0.0,1.0
13067031101,0.0,1.0
13067031110,0.0,1.0
13067031111,5.8,0.7760617760617761
13067031112,0.0,1.0
13067031113,0.0,1.0
13067031114,0.0,1.0
13067031115,12.4,0.5212355212355212
13067031116,0.0,1.0
13067031117,0.0,1.0
13067031118,0.0,1.0
13067031119,1.5,0.9420849420849421
13067031120,0.0,1.0
13067031121,0.0,1.0
13067031122,0.0,1.0
13067031207,0.0,1.0
13067031209,0.0,1.0
13067031212,0.0,1.0
13067031213,2.7,0.8957528957528957
13067031214,0.0,1.0
13067031215,0.0,1.0
13067031216,0.0,1.0
13067031217,25.9,0.0
13067031218,8.0,0.6911196911196911
13067031219,0.0,1.0
13067031220,0.0,1.0
13067031221,0.0,1.0
13067031306,6.8,0.7374517374517374
13067031308,6.6,0.7451737451737452
13067031314,0.0,1.0
13067031315,0.0,1.0
13067031316,0.0,1.0
13067031317,0.0,1.0
13067031318,0.0,1.0
13067031319,4.0,0.8455598455598455
13067031320,0.0,1.0
13067031321,0.8,0.9691119691119691
13067031322,16.4,0.36679536679536684
13067031323,4.3,0.833976833976834
13067031324,0.0,1.0
13067031325,1.8,0.9305019305019305
13067031409,0.0,1.0
13067031410,13.8,0.46718146718146714
13067031411,3.8,0.8532818532818532
13067031412,2.0,0.9227799227799228
13067031413,0.0,1.0
13067031414,14.9,0.42471042471042464
13067031415,0.0,1.0
13067031416,1.2,0.9536679536679536
13067031417,0.0,1.0
13067031506,6.3,0.7567567567567568
13067031507,5.5,0.7876447876447876
13067031510,12.6,0.5135135135135135
13067031511,5.4,0.7915057915057915
13067031512,0.0,1.0
13067031513,1.2,0.9536679536679536
13067031514,4.6,0.8223938223938224
13067031515,0.8,0.9691119691119691
13067031516,4.7,0.8185328185328185
13067031517,5.9,0.7722007722007722
13067031518,0.5,0.9806949806949807
