GEOID,"% Disconnected youth: ages 16-19 not in school or in labor force, 2024","% Disconnected youth: ages 16-19 not in school or in labor force, 2024 (normalized)"
13067030104,0.0,1.0
13067030107,0.0,1.0
13067030108,1.9,0.981
13067030109,0.0,1.0
13067030110,5.6,0.944
13067030111,0.0,1.0
13067030112,0.0,1.0
13067030113,0.0,1.0
13067030220,0.0,1.0
13067030233,0.0,1.0
13067030235,0.0,1.0
13067030236,10.1,0.899
13067030240,0.0,1.0
13067030241,0.0,1.0
13067030242,0.0,1.0
13067030243,0.0,1.0
13067030244,0.0,1.0
13067030245,0.0,1.0
13067030246,0.0,1.0
13067030247,0.0,1.0
13067030248,0.0,1.0
13067030249,23.2,0.768
13067030250,0.0,1.0
13067030251,0.0,1.0
13067030252,5.2,0.948
13067030253,41.2,0.588
13067030254,0.0,1.0
13067030255,13.1,0.869
13067030256,0.0,1.0
13067030257,0.0,1.0
13067030258,8.3,0.917
13067030259,0.0,1.0
13067030260,0.0,1.0
13067030261,0.0,1.0
13067030262,0.0,1.0
13067030263,0.0,1.0
13067030264,0.0,1.0
13067030265,0.0,1.0
13067030266,24.1,0.759
13067030267,0.0,1.0
13067030268,0.0,1.0
13067030269,0.0,1.0
13067030270,0.0,1.0
13067030271,15.5,0.845
13067030272,0.0,1.0
13067030273,0.0,1.0
13067030274,0.0,1.0
13067030275,0.0,1.0
13067030276,7.0,0.9299999999999999
13067030277,0.0,1.0
13067030278,0.0,1.0
13067030319,11.0,0.89
13067030322,0.0,1.0
13067030324,0.0,1.0
13067030326,1.6,0.984
13067030327,0.0,1.0
13067030329,0.0,1.0
13067030331,0.0,1.0
13067030332,0.0,1.0
13067030334,3.4,0.966
13067030335,0.0,1.0
13067030337,0.0,1.0
13067030340,1.1,0.989
13067030341,5.5,0.945
13067030342,1.9,0.981
13067030343,0.0,1.0
13067030344,0.0,1.0
13067030345,,
13067030346,0.0,1.0
13067030347,0.0,1.0
13067030348,0.0,1.0
13067030349,0.0,1.0
13067030350,0.0,1.0
13067030351,26.6,0.734
13067030352,9.0,0.91
13067030353,27.5,0.725
13067030354,0.0,1.0
13067030355,0.0,1.0
13067030356,0.0,1.0
13067030357,0.0,1.0
13067030358,0.0,1.0
13067030359,0.0,1.0
13067030360,0.0,1.0
13067030361,0.0,1.0
13067030362,0.0,1.0
13067030363,0.0,1.0
13067030364,18.8,0.812
13067030365,12.4,0.876
13067030366,0.0,1.0
13067030367,9.7,0.903
13067030368,0.9,0.991
13067030369,0.0,1.0
13067030370,4.3,0.957
13067030405,11.2,0.888
13067030407,0.0,1.0
13067030408,0.0,1.0
13067030409,0.0,1.0
13067030410,0.0,1.0
13067030411,0.0,1.0
13067030412,0.0,1.0
13067030413,12.2,0.878
13067030414,14.6,0.854
13067030505,0.0,1.0
13067030506,0.0,1.0
13067030507,0.0,1.0
13067030508,0.0,1.0
13067030509,0.0,1.0
13067030510,0.0,1.0
13067030511,0.0,1.0
13067030602,3.3,0.967
13067030603,0.0,1.0
13067030604,0.0,1.0
13067030700,0.0,1.0
13067030800,0.0,1.0
13067030906,0.0,1.0
13067030907,19.6,0.804
13067030908,0.0,1.0
13067030909,25.0,0.75
13067030910,0.0,1.0
13067030911,0.0,1.0
13067030912,0.0,1.0
13067031001,10.3,0.897
13067031004,9.7,0.903
13067031005,2.8,0.972
13067031006,0.0,1.0
13067031007,40.5,0.595
13067031101,23.9,0.761
13067031110,10.0,0.9
13067031111,0.0,1.0
13067031112,0.0,1.0
13067031113,,
13067031114,0.0,1.0
13067031115,0.0,1.0
13067031116,0.0,1.0
13067031117,0.0,1.0
13067031118,0.0,1.0
13067031119,12.3,0.877
13067031120,28.8,0.712
13067031121,0.0,1.0
13067031122,61.7,0.383
13067031207,0.0,1.0
13067031209,0.0,1.0
13067031212,0.0,1.0
13067031213,0.0,1.0
13067031214,22.0,0.78
13067031215,0.0,1.0
13067031216,0.0,1.0
13067031217,0.0,1.0
13067031218,100.0,0.0
13067031219,76.9,0.23099999999999998
13067031220,0.0,1.0
13067031221,0.0,1.0
13067031306,0.0,1.0
13067031308,24.0,0.76
13067031314,0.0,1.0
13067031315,0.0,1.0
13067031316,0.0,1.0
13067031317,0.0,1.0
13067031318,0.0,1.0
13067031319,0.0,1.0
13067031320,17.0,0.83
13067031321,0.0,1.0
13067031322,24.2,0.758
13067031323,0.0,1.0
13067031324,14.8,0.852
13067031325,0.0,1.0
13067031409,0.0,1.0
13067031410,0.0,1.0
13067031411,0.0,1.0
13067031412,0.0,1.0
13067031413,0.0,1.0
13067031414,0.0,1.0
13067031415,0.0,1.0
13067031416,1.2,0.988
13067031417,0.0,1.0
13067031506,0.0,1.0
13067031507,0.0,1.0
13067031510,0.3,0.997
13067031511,0.0,1.0
13067031512,0.0,1.0
13067031513,3.4,0.966
13067031514,23.3,0.767
13067031515,0.0,1.0
13067031516,0.0,1.0
13067031517,0.0,1.0
13067031518,3.7,0.963
