GEOID,"% Gross rent 30.0 percent of income or greater, 2024","% Gross rent 30.0 percent of income or greater, 2024 (normalized)"
13067030104,54.0,0.45999999999999996
13067030107,61.9,0.381
13067030108,62.4,0.376
13067030109,74.3,0.257
13067030110,52.9,0.471
13067030111,50.0,0.5
13067030112,45.4,0.546
13067030113,36.2,0.6379999999999999
13067030220,30.4,0.696
13067030233,0.0,1.0
13067030235,57.5,0.42500000000000004
13067030236,25.0,0.75
13067030240,41.9,0.581
13067030241,85.2,0.14800000000000002
13067030242,63.8,0.362
13067030243,34.1,0.659
13067030244,0.0,1.0
13067030245,11.6,0.884
13067030246,95.9,0.040999999999999925
13067030247,58.1,0.41900000000000004
13067030248,57.5,0.42500000000000004
13067030249,40.6,0.594
13067030250,58.8,0.41200000000000003
13067030251,20.4,0.796
13067030252,57.8,0.42200000000000004
13067030253,,
13067030254,58.6,0.41400000000000003
13067030255,47.7,0.5229999999999999
13067030256,48.8,0.512
13067030257,63.7,0.363
13067030258,56.8,0.43200000000000005
13067030259,50.5,0.495
13067030260,31.2,0.688
13067030261,43.6,0.5640000000000001
13067030262,35.8,0.642
13067030263,63.8,0.362
13067030264,23.3,0.767
13067030265,32.4,0.6759999999999999
13067030266,0.0,1.0
13067030267,23.1,0.769
13067030268,100.0,0.0
13067030269,87.2,0.128
13067030270,55.2,0.44799999999999995
13067030271,77.4,0.22599999999999998
13067030272,56.9,0.43100000000000005
13067030273,27.1,0.729
13067030274,27.5,0.725
13067030275,84.1,0.15900000000000003
13067030276,100.0,0.0
13067030277,0.0,1.0
13067030278,42.4,0.5760000000000001
13067030319,37.2,0.6279999999999999
13067030322,43.2,0.568
13067030324,48.2,0.518
13067030326,78.9,0.21099999999999997
13067030327,26.3,0.737
13067030329,41.8,0.5820000000000001
13067030331,51.2,0.488
13067030332,72.1,0.279
13067030334,8.2,0.918
13067030335,78.0,0.21999999999999997
13067030337,90.4,0.09599999999999997
13067030340,22.6,0.774
13067030341,26.1,0.739
13067030342,10.0,0.9
13067030343,0.0,1.0
13067030344,45.3,0.547
13067030345,39.9,0.601
13067030346,57.0,0.43000000000000005
13067030347,20.1,0.7989999999999999
13067030348,53.1,0.469
13067030349,53.4,0.46599999999999997
13067030350,67.2,0.32799999999999996
13067030351,91.1,0.08900000000000008
13067030352,95.8,0.04200000000000004
13067030353,60.0,0.4
13067030354,39.5,0.605
13067030355,40.2,0.598
13067030356,26.3,0.737
13067030357,11.5,0.885
13067030358,42.5,0.575
13067030359,74.0,0.26
13067030360,0.0,1.0
13067030361,22.6,0.774
13067030362,15.7,0.843
13067030363,31.5,0.685
13067030364,22.4,0.776
13067030365,11.0,0.89
13067030366,58.3,0.41700000000000004
13067030367,9.5,0.905
13067030368,31.7,0.683
13067030369,0.0,1.0
13067030370,47.6,0.524
13067030405,54.1,0.45899999999999996
13067030407,46.0,0.54
13067030408,29.7,0.7030000000000001
13067030409,61.9,0.381
13067030410,65.3,0.347
13067030411,69.7,0.30299999999999994
13067030412,65.8,0.3420000000000001
13067030413,56.4,0.43600000000000005
13067030414,63.8,0.362
13067030505,47.4,0.526
13067030506,44.2,0.558
13067030507,31.8,0.6819999999999999
13067030508,14.5,0.855
13067030509,56.8,0.43200000000000005
13067030510,31.2,0.688
13067030511,49.2,0.508
13067030602,58.9,0.41100000000000003
13067030603,69.3,0.30700000000000005
13067030604,56.7,0.43299999999999994
13067030700,56.8,0.43200000000000005
13067030800,56.1,0.43899999999999995
13067030906,67.3,0.32700000000000007
13067030907,64.1,0.3590000000000001
13067030908,25.5,0.745
13067030909,61.3,0.387
13067030910,51.2,0.488
13067030911,51.1,0.489
13067030912,61.8,0.382
13067031001,52.9,0.471
13067031004,55.8,0.44200000000000006
13067031005,64.3,0.357
13067031006,46.7,0.5329999999999999
13067031007,70.5,0.29500000000000004
13067031101,68.6,0.31400000000000006
13067031110,23.5,0.765
13067031111,46.1,0.5389999999999999
13067031112,64.4,0.356
13067031113,49.5,0.505
13067031114,43.8,0.562
13067031115,44.3,0.557
13067031116,52.6,0.474
13067031117,36.1,0.639
13067031118,53.0,0.47
13067031119,44.5,0.5549999999999999
13067031120,96.4,0.03599999999999992
13067031121,62.3,0.377
13067031122,42.6,0.5740000000000001
13067031207,33.1,0.669
13067031209,57.0,0.43000000000000005
13067031212,39.3,0.607
13067031213,66.3,0.3370000000000001
13067031214,18.6,0.814
13067031215,34.3,0.657
13067031216,26.4,0.736
13067031217,43.8,0.562
13067031218,44.4,0.556
13067031219,48.3,0.517
13067031220,51.8,0.482
13067031221,33.1,0.669
13067031306,34.6,0.6539999999999999
13067031308,61.6,0.384
13067031314,41.3,0.587
13067031315,75.5,0.245
13067031316,21.4,0.786
13067031317,62.4,0.376
13067031318,74.6,0.254
13067031319,64.1,0.3590000000000001
13067031320,38.3,0.617
13067031321,49.2,0.508
13067031322,35.7,0.643
13067031323,55.8,0.44200000000000006
13067031324,52.4,0.476
13067031325,89.3,0.10699999999999998
13067031409,52.4,0.476
13067031410,6.4,0.9359999999999999
13067031411,48.4,0.516
13067031412,60.8,0.392
13067031413,76.0,0.24
13067031414,90.4,0.09599999999999997
13067031415,42.3,0.577
13067031416,39.5,0.605
13067031417,67.1,0.32900000000000007
13067031506,76.6,0.2340000000000001
13067031507,39.1,0.609
13067031510,0.0,1.0
13067031511,28.1,0.719
13067031512,35.4,0.646
13067031513,48.0,0.52
13067031514,53.3,0.4670000000000001
13067031515,21.3,0.787
13067031516,80.0,0.19999999999999996
13067031517,42.3,0.577
13067031518,52.9,0.471
